,averageRating,datePublished,genre,name,ratingCount,releasedCountry
15320,4.5,2018.0,Drama,Dead in a Week: Or Your Money Back,322.0,USA
15321,7.3,1997.0,Comedy,Ovosodo,2583.0,Italy
15322,7.3,1997.0,Drama,Ovosodo,2583.0,Italy
15323,6.9,1999.0,Drama,Any Given Sunday,104917.0,USA
15324,6.9,1999.0,Sport,Any Given Sunday,104917.0,USA
15325,5.8,2005.0,Comedy,Diary of a Mad Black Woman,12526.0,USA
15326,5.8,2005.0,Drama,Diary of a Mad Black Woman,12526.0,USA
15327,5.8,2005.0,Romance,Diary of a Mad Black Woman,12526.0,USA
15334,6.4,2016.0,Comedy,Happy Bhag Jayegi,4284.0,USA
15335,6.4,2016.0,Romance,Happy Bhag Jayegi,4284.0,USA
15336,5.1,2010.0,Action,Crook: It's Good to Be Bad,1559.0,India
15337,5.1,2010.0,Drama,Crook: It's Good to Be Bad,1559.0,India
15338,5.1,2010.0,Thriller,Crook: It's Good to Be Bad,1559.0,India
15345,6.0,2018.0,Comedy,Best F(r)iends: Volume 2,110.0,USA
15346,6.0,2018.0,Drama,Best F(r)iends: Volume 2,110.0,USA
15347,6.0,2018.0,Thriller,Best F(r)iends: Volume 2,110.0,USA
15348,7.4,1969.0,Adventure,True Grit,37673.0,Japan
15349,7.4,1969.0,Drama,True Grit,37673.0,Japan
15350,7.4,1969.0,Western,True Grit,37673.0,Japan
15351,4.8,2014.0,Adventure,The Perfect Wave,983.0,South Africa
15352,4.8,2014.0,Biography,The Perfect Wave,983.0,South Africa
15353,4.8,2014.0,Drama,The Perfect Wave,983.0,South Africa
15354,4.8,2014.0,Romance,The Perfect Wave,983.0,South Africa
15360,4.9,2018.0,Horror,Monster Party,154.0,USA
15361,4.9,2018.0,Mystery,Monster Party,154.0,USA
15362,4.9,2018.0,Thriller,Monster Party,154.0,USA
15363,6.0,2018.0,Drama,Vox Lux,615.0,USA
15364,6.0,2018.0,Musical,Vox Lux,615.0,USA
15365,6.5,1948.0,Crime,My Brother's Keeper,188.0,USA
15366,6.5,1948.0,Drama,My Brother's Keeper,188.0,USA
15367,6.5,1948.0,Thriller,My Brother's Keeper,188.0,USA
15368,8.0,1980.0,Comedy,Being There,58760.0,Denmark
15369,8.0,1980.0,Drama,Being There,58760.0,Denmark
15370,6.2,1990.0,Action,Revenge,14489.0,USA
15371,6.2,1990.0,Crime,Revenge,14489.0,USA
15372,6.2,1990.0,Drama,Revenge,14489.0,USA
15373,6.2,1990.0,Romance,Revenge,14489.0,USA
15374,6.2,1990.0,Thriller,Revenge,14489.0,USA
15381,5.9,1988.0,Comedy,For Keeps?,3492.0,USA
15382,5.9,1988.0,Drama,For Keeps?,3492.0,USA
15383,5.9,1988.0,Romance,For Keeps?,3492.0,USA
15384,6.3,2013.0,Horror,Resolution,10235.0,USA
15385,6.3,2013.0,Mystery,Resolution,10235.0,USA
15386,6.3,2013.0,Thriller,Resolution,10235.0,USA
15387,7.7,1976.0,Drama,Novecento,19560.0,USA
15388,7.7,1976.0,History,Novecento,19560.0,USA
15389,6.7,1942.0,Crime,Crossroads,938.0,USA
15390,6.7,1942.0,Drama,Crossroads,938.0,USA
15391,6.7,1942.0,Film-Noir,Crossroads,938.0,USA
15392,6.7,1942.0,Mystery,Crossroads,938.0,USA
15393,7.6,1981.0,Comedy,An American Werewolf in London,78886.0,USA
15394,7.6,1981.0,Horror,An American Werewolf in London,78886.0,USA
15405,5.6,1989.0,Adventure,Troop Beverly Hills,8372.0,USA
15406,5.6,1989.0,Comedy,Troop Beverly Hills,8372.0,USA
15407,7.0,2014.0,Animation,Tamako rabu sutôrî,846.0,Japan
15408,7.0,2014.0,Comedy,Tamako rabu sutôrî,846.0,Japan
15409,7.0,2014.0,Romance,Tamako rabu sutôrî,846.0,Japan
15410,7.6,1966.0,Action,The Rat Patrol,1111.0,1966–1968
15411,7.6,1966.0,Drama,The Rat Patrol,1111.0,1966–1968
15412,7.6,1966.0,Adventure,The Rat Patrol,1111.0,1966–1968
15413,7.6,1966.0,War,The Rat Patrol,1111.0,1966–1968
15414,5.8,2006.0,Comedy,The Break-Up,113360.0,USA
15415,5.8,2006.0,Drama,The Break-Up,113360.0,USA
15416,5.8,2006.0,Romance,The Break-Up,113360.0,USA
15417,7.3,1986.0,Comedy,Malcolm,1828.0,USA
15418,7.3,1986.0,Crime,Malcolm,1828.0,USA
15419,7.3,1986.0,Sci-Fi,Malcolm,1828.0,USA
15425,8.3,2012.0,Adventure,"Montevideo, Bog te video!",1729.0,2012– 
15426,8.3,2012.0,Comedy,"Montevideo, Bog te video!",1729.0,2012– 
15427,8.3,2012.0,Drama,"Montevideo, Bog te video!",1729.0,2012– 
15428,8.3,2012.0,Romance,"Montevideo, Bog te video!",1729.0,2012– 
15429,8.3,2012.0,Sport,"Montevideo, Bog te video!",1729.0,2012– 
15435,6.7,2012.0,Comedy,Heiter bis wolkig,1076.0,Germany
15436,6.7,2012.0,Drama,Heiter bis wolkig,1076.0,Germany
15437,6.7,2012.0,Romance,Heiter bis wolkig,1076.0,Germany
15438,6.3,1996.0,Horror,Nekeddo burâddo: Megyaku,1680.0,Japan
15439,6.3,1996.0,Sci-Fi,Nekeddo burâddo: Megyaku,1680.0,Japan
15446,7.7,2014.0,Short,Deathstroke: Arkham Assassin,187.0,USA
15447,7.7,2014.0,Action,Deathstroke: Arkham Assassin,187.0,USA
15448,7.7,2014.0,Sci-Fi,Deathstroke: Arkham Assassin,187.0,USA
